,Name,MC_USD_Billion,MC_EUR_Billion,MC_GBP_Billion,MC_INR_Billion
0,JPMorgan Chase,432.92,402.61560000000003,346.336,35910.714
1,Bank of America,231.52,215.3136,185.216,19204.584000000003
2,Industrial and Commercial Bank of China,194.56,180.94080000000002,155.64800000000002,16138.752
3,Agricultural Bank of China,160.68,149.4324,128.544,13328.406
4,HDFC Bank,157.91,146.8563,126.328,13098.6345
5,Wells Fargo,155.87,144.9591,124.69600000000001,12929.416500000001
6,HSBC Holdings PLC,148.90,138.477,119.12,12351.255000000001
7,Morgan Stanley,140.83,130.9719,112.66400000000002,11681.848500000002
8,China Construction Bank,139.82,130.0326,111.856,11598.069
9,Bank of China,136.81,127.23330000000001,109.44800000000001,11348.389500000001
